"Area","Control","Item","Expected","Actual","Status","Note"
"PreCheck","Admin","PowerShell elevated","True","True","PASS","Debe ejecutarse como Administrador para leer todo correctamente."
"Usuarios","adminbackup","Existe usuario adminbackup","Exists","Exists","PASS",""
"Usuarios","adminbackup","Cuenta adminbackup habilitada","True","True","PASS",""
"Usuarios","adminbackup","Miembro de Administrators","True","adminbackup","PASS",""
"Usuarios","adminbackup","Miembro de Remote Desktop Users","True","adminbackup","PASS","Si es Administrator puede entrar, pero para evidencia conviene tenerlo tambi̩n en Remote Desktop Users."
"Usuarios","Administrator","Usuario Administrator encontrado","Exists","Missing or renamed","INFO",""
"RDP","RDP","RDP habilitado en Windows","0","0","PASS",""
"RDP","Firewall","Reglas Remote Desktop habilitadas","At least 1","3","PASS",""
"Parte1 Account Policies","1.1.1","PasswordHistorySize","24","24","PASS",""
"Parte1 Account Policies","1.1.2","MaximumPasswordAge","365","365","PASS",""
"Parte1 Account Policies","1.1.3","MinimumPasswordAge","1","1","PASS",""
"Parte1 Account Policies","1.1.4","MinimumPasswordLength","14","14","PASS",""
"Parte1 Account Policies","1.1.5","PasswordComplexity","1","1","PASS",""
"Parte1 Account Policies","1.1.7","ClearTextPassword","0","0","PASS",""
"Parte1 Account Policies","1.2.1","LockoutDuration","15","15","PASS",""
"Parte1 Account Policies","1.2.2","LockoutBadCount","5","5","PASS",""
"Parte1 Account Policies","1.2.4","ResetLockoutCount","15","15","PASS",""
"Parte2 User Rights","2.2","SeTrustedCredManAccessPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeNetworkLogonRight","*S-1-5-32-544,*S-1-5-11","*S-1-5-11,*S-1-5-32-544","FAIL",""
"Parte2 User Rights","2.2","SeTcbPrivilege","","MISSING","FAIL",""
"Parte2 User Rights","2.2","SeIncreaseQuotaPrivilege","*S-1-5-32-544,*S-1-5-19,*S-1-5-20","*S-1-5-19,*S-1-5-20,*S-1-5-32-544","FAIL",""
"Parte2 User Rights","2.2","SeRemoteInteractiveLogonRight","*S-1-5-32-544,*S-1-5-32-555","*S-1-5-32-544,*S-1-5-32-555","PASS",""
